t	x	y	th	v	w	dTh	dSi
0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	0.00	0.00	0.01	0.00	0.13	0.01	0.00
0.32	0.00	0.00	0.04	0.00	0.67	0.03	0.00
0.37	0.00	0.00	0.08	0.00	0.87	0.04	0.00
0.42	0.00	0.00	0.14	0.00	1.07	0.05	0.00
0.48	0.00	-0.00	0.19	-0.00	1.01	0.05	-0.00
0.53	0.00	-0.00	0.24	0.00	1.07	0.05	0.00
0.58	0.00	-0.00	0.30	0.00	1.07	0.05	0.00
0.63	0.00	-0.00	0.34	0.00	0.94	0.05	0.00
0.68	0.00	-0.00	0.39	0.00	0.94	0.05	0.00
0.73	0.00	-0.00	0.44	0.00	1.07	0.05	0.00
0.78	-0.00	-0.00	0.49	-0.00	1.01	0.05	-0.00
0.83	-0.00	-0.00	0.54	0.00	0.94	0.05	0.00
0.88	-0.00	-0.00	0.59	0.00	0.94	0.05	0.00
0.93	-0.00	-0.00	0.64	0.00	1.07	0.05	0.00
0.98	-0.00	-0.00	0.70	0.00	1.07	0.05	0.00
1.03	-0.00	-0.00	0.75	0.00	1.07	0.05	0.00
1.08	-0.00	0.00	0.80	0.00	1.01	0.05	0.00
1.13	-0.00	0.00	0.85	0.00	1.07	0.05	0.00
1.18	-0.00	0.00	0.90	0.00	0.94	0.05	0.00
1.23	-0.00	0.00	0.96	0.00	1.07	0.05	0.00
1.28	-0.00	0.00	1.01	0.00	1.07	0.05	0.00
1.33	-0.00	0.00	1.06	0.00	0.94	0.05	0.00
1.38	-0.00	0.00	1.11	0.00	1.07	0.05	0.00
1.43	-0.00	0.00	1.16	0.00	1.07	0.05	0.00
1.48	-0.00	-0.00	1.22	-0.00	1.01	0.05	-0.00
1.53	-0.00	0.00	1.27	0.00	1.01	0.05	0.00
1.58	-0.00	0.00	1.31	0.00	0.94	0.05	0.00
1.63	-0.00	-0.00	1.36	-0.00	1.01	0.05	-0.00
1.68	-0.00	0.00	1.41	0.00	1.01	0.05	0.00
1.73	-0.00	0.00	1.47	0.00	1.07	0.05	0.00
1.78	-0.00	0.00	1.52	0.00	1.07	0.05	0.00
1.83	-0.00	0.00	1.58	0.00	1.07	0.05	0.00
1.88	-0.00	0.00	1.62	0.04	0.81	0.04	0.00
t	x	y	th	v	w	dTh	dSi
