t	x	y	th	v	w	dTh	dSi
0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	-0.00	-0.00	0.01	-0.00	0.20	0.01	-0.00
0.32	-0.00	-0.00	0.05	-0.00	0.74	0.04	-0.00
0.37	-0.00	-0.00	0.09	0.00	0.81	0.04	0.00
0.42	-0.00	0.00	0.14	0.00	1.01	0.05	0.00
0.47	-0.00	0.00	0.19	0.00	1.01	0.05	0.00
0.52	-0.00	0.00	0.24	0.00	0.94	0.05	0.00
0.57	-0.00	-0.00	0.29	-0.01	1.08	0.05	-0.00
0.62	-0.00	0.00	0.34	0.00	1.01	0.05	0.00
0.67	-0.00	0.00	0.39	0.00	1.08	0.05	0.00
0.72	-0.00	0.00	0.45	0.00	1.08	0.05	0.00
0.78	-0.00	0.00	0.50	0.00	1.07	0.05	0.00
0.83	-0.00	0.00	0.55	0.00	1.01	0.05	0.00
0.88	-0.00	0.00	0.61	0.00	1.07	0.05	0.00
0.93	-0.00	0.00	0.66	0.00	1.07	0.05	0.00
0.98	0.00	0.00	0.71	0.00	1.01	0.05	0.00
1.03	-0.00	0.00	0.76	-0.00	1.01	0.05	-0.00
1.08	0.00	0.00	0.81	0.00	1.01	0.05	0.00
1.13	-0.00	0.00	0.86	-0.00	1.01	0.05	-0.00
1.18	0.00	0.00	0.91	0.00	1.01	0.05	0.00
1.23	0.00	0.00	0.97	0.00	1.07	0.05	0.00
1.28	0.00	0.00	1.02	0.00	1.07	0.05	0.00
1.33	0.00	0.00	1.07	0.00	1.01	0.05	0.00
1.38	0.00	0.00	1.12	-0.00	1.01	0.05	-0.00
1.43	0.00	0.00	1.17	0.00	1.01	0.05	0.00
1.48	0.00	0.00	1.22	-0.00	1.01	0.05	-0.00
1.53	0.00	0.00	1.28	0.00	1.07	0.05	0.00
1.58	0.00	0.00	1.33	0.00	1.01	0.05	0.00
1.63	0.00	0.00	1.38	-0.00	1.01	0.05	-0.00
1.68	0.00	0.00	1.43	0.00	1.01	0.05	0.00
1.73	0.00	0.00	1.48	-0.00	1.01	0.05	-0.00
1.78	0.00	0.00	1.53	0.00	1.07	0.05	0.00
1.83	0.00	0.00	1.58	-0.00	1.01	0.05	-0.00
1.88	0.00	0.00	1.63	0.04	0.87	0.04	0.00
1.93	-0.00	0.01	1.65	0.16	0.40	0.02	0.01
t	x	y	th	v	w	dTh	dSi
