t	x	y	th	v	w	dTh	dSi
6.036	0.200	0.200	1.571	0.000	0.000	0.000	0.000
6.086	0.200	0.200	1.567	0.005	-0.067	-0.003	0.000
6.136	0.200	0.200	1.544	-0.005	-0.470	-0.024	-0.000
6.186	0.200	0.200	1.527	-0.005	-0.335	-0.017	-0.000
6.237	0.200	0.199	1.507	-0.009	-0.403	-0.020	-0.000
6.287	0.200	0.200	1.483	0.005	-0.470	-0.024	0.000
6.337	0.200	0.199	1.460	-0.005	-0.470	-0.024	-0.000
6.387	0.200	0.199	1.433	0.000	-0.537	-0.027	0.000
6.437	0.200	0.199	1.409	-0.005	-0.470	-0.024	-0.000
6.487	0.200	0.199	1.382	0.000	-0.537	-0.027	0.000
6.537	0.200	0.199	1.359	0.005	-0.470	-0.024	0.000
6.587	0.200	0.199	1.332	0.000	-0.537	-0.027	0.000
6.638	0.200	0.199	1.305	0.000	-0.537	-0.027	0.000
6.688	0.200	0.200	1.281	0.005	-0.470	-0.024	0.000
6.738	0.200	0.199	1.251	-0.005	-0.605	-0.030	-0.000
6.788	0.200	0.200	1.227	0.005	-0.470	-0.024	0.000
6.838	0.200	0.200	1.201	0.000	-0.537	-0.027	0.000
6.888	0.200	0.200	1.174	0.000	-0.537	-0.027	0.000
6.939	0.200	0.200	1.147	0.000	-0.535	-0.027	0.000
6.989	0.200	0.199	1.123	-0.005	-0.470	-0.024	-0.000
7.039	0.200	0.200	1.103	0.009	-0.403	-0.020	0.000
7.089	0.200	0.200	1.079	-0.005	-0.470	-0.024	-0.000
7.139	0.200	0.200	1.052	0.000	-0.537	-0.027	0.000
7.189	0.200	0.200	1.026	0.000	-0.537	-0.027	0.000
7.239	0.200	0.200	0.999	0.000	-0.537	-0.027	0.000
7.290	0.200	0.200	0.972	0.000	-0.537	-0.027	0.000
7.340	0.200	0.200	0.945	0.000	-0.537	-0.027	0.000
7.390	0.200	0.200	0.918	0.000	-0.537	-0.027	0.000
7.440	0.200	0.200	0.891	0.000	-0.537	-0.027	0.000
7.490	0.200	0.199	0.867	-0.005	-0.470	-0.024	-0.000
7.540	0.200	0.199	0.840	0.000	-0.537	-0.027	0.000
7.591	0.200	0.200	0.817	0.005	-0.470	-0.024	0.000
7.641	0.200	0.199	0.787	-0.005	-0.604	-0.030	-0.000
7.691	0.200	0.199	0.766	0.000	-0.403	-0.020	0.000
7.741	0.200	0.199	0.739	0.000	-0.537	-0.027	0.000
7.791	0.200	0.199	0.712	0.000	-0.537	-0.027	0.000
7.841	0.200	0.199	0.686	0.000	-0.537	-0.027	0.000
7.891	0.200	0.199	0.662	0.005	-0.470	-0.024	0.000
7.942	0.200	0.199	0.635	0.000	-0.537	-0.027	0.000
7.992	0.200	0.199	0.611	-0.005	-0.470	-0.024	-0.000
8.042	0.200	0.199	0.585	0.000	-0.537	-0.027	0.000
8.092	0.200	0.199	0.558	0.000	-0.537	-0.027	0.000
8.142	0.200	0.199	0.531	0.000	-0.537	-0.027	0.000
8.192	0.200	0.199	0.504	0.000	-0.537	-0.027	0.000
8.243	0.200	0.199	0.484	0.000	-0.403	-0.020	0.000
8.293	0.200	0.199	0.457	0.000	-0.537	-0.027	0.000
8.343	0.200	0.199	0.430	0.000	-0.537	-0.027	0.000
8.393	0.200	0.199	0.403	0.000	-0.537	-0.027	0.000
8.443	0.200	0.199	0.379	0.005	-0.470	-0.024	0.000
8.493	0.200	0.199	0.352	0.000	-0.537	-0.027	0.000
8.544	0.200	0.199	0.325	0.000	-0.537	-0.027	0.000
8.594	0.200	0.199	0.298	0.000	-0.537	-0.027	0.000
8.644	0.200	0.199	0.275	-0.005	-0.470	-0.024	-0.000
8.694	0.200	0.199	0.248	0.000	-0.537	-0.027	0.000
8.744	0.200	0.199	0.221	0.000	-0.537	-0.027	0.000
8.794	0.200	0.199	0.194	0.000	-0.537	-0.027	0.000
8.844	0.200	0.199	0.171	0.005	-0.470	-0.024	0.000
8.895	0.200	0.199	0.150	0.000	-0.403	-0.020	0.000
8.945	0.200	0.199	0.123	0.000	-0.537	-0.027	0.000
8.995	0.200	0.199	0.096	0.000	-0.537	-0.027	0.000
9.045	0.200	0.199	0.070	0.000	-0.537	-0.027	0.000
9.095	0.200	0.199	0.039	0.005	-0.603	-0.030	0.000
9.145	0.200	0.199	0.012	0.000	-0.537	-0.027	0.000
9.196	0.200	0.199	-0.008	0.000	-0.402	-0.020	0.000
9.246	0.200	0.199	-0.021	0.000	-0.268	-0.013	0.000
9.296	0.200	0.199	-0.015	0.000	0.134	0.007	0.000
9.346	0.201	0.199	-0.004	0.005	0.201	0.010	0.000
9.397	0.201	0.199	0.022	0.000	0.534	0.027	0.000
9.447	0.201	0.199	0.043	0.000	0.403	0.020	0.000
9.497	0.201	0.199	0.063	0.000	0.403	0.020	0.000
9.547	0.201	0.199	0.086	0.005	0.470	0.024	0.000
9.597	0.201	0.199	0.113	0.000	0.537	0.027	0.000
9.647	0.201	0.199	0.137	-0.005	0.470	0.024	-0.000
9.697	0.201	0.199	0.160	0.005	0.470	0.024	0.000
9.747	0.201	0.199	0.191	0.005	0.604	0.030	0.000
9.798	0.201	0.199	0.214	-0.005	0.470	0.024	-0.000
9.848	0.201	0.199	0.241	0.000	0.537	0.027	0.000
9.898	0.201	0.199	0.265	-0.005	0.470	0.024	-0.000
9.948	0.201	0.199	0.288	0.005	0.470	0.024	0.000
9.998	0.201	0.199	0.315	0.000	0.537	0.027	0.000
10.048	0.201	0.199	0.342	0.000	0.537	0.027	0.000
10.098	0.201	0.199	0.369	0.000	0.537	0.027	0.000
10.149	0.201	0.199	0.396	0.000	0.537	0.027	0.000
10.199	0.201	0.200	0.420	0.005	0.470	0.024	0.000
10.249	0.201	0.199	0.443	-0.005	0.469	0.024	-0.000
10.302	0.201	0.200	0.473	0.004	0.572	0.030	0.000
10.352	0.201	0.199	0.497	-0.005	0.469	0.024	-0.000
10.402	0.201	0.199	0.524	0.000	0.536	0.027	0.000
10.453	0.201	0.199	0.544	0.000	0.402	0.020	0.000
10.503	0.201	0.199	0.571	0.000	0.536	0.027	0.000
10.553	0.201	0.199	0.598	0.000	0.537	0.027	0.000
10.603	0.201	0.199	0.625	0.000	0.537	0.027	0.000
10.653	0.201	0.200	0.649	0.005	0.470	0.024	0.000
10.703	0.201	0.199	0.672	-0.005	0.470	0.024	-0.000
10.753	0.201	0.199	0.699	0.000	0.537	0.027	0.000
10.804	0.201	0.199	0.723	-0.005	0.470	0.024	-0.000
10.854	0.201	0.199	0.746	0.005	0.470	0.024	0.000
10.904	0.201	0.200	0.770	0.005	0.470	0.024	0.000
10.956	0.201	0.200	0.797	0.000	0.513	0.027	0.000
11.007	0.201	0.199	0.820	-0.005	0.469	0.024	-0.000
11.057	0.201	0.199	0.847	0.000	0.537	0.027	0.000
11.107	0.201	0.199	0.871	-0.005	0.470	0.024	-0.000
11.157	0.201	0.199	0.898	0.000	0.536	0.027	0.000
11.207	0.201	0.199	0.925	0.000	0.536	0.027	0.000
11.257	0.201	0.199	0.948	-0.005	0.470	0.024	-0.000
11.308	0.201	0.199	0.972	0.005	0.469	0.024	0.000
11.358	0.201	0.199	0.995	-0.005	0.470	0.024	-0.000
11.408	0.201	0.199	1.022	0.000	0.537	0.027	0.000
11.458	0.201	0.199	1.049	0.000	0.537	0.027	0.000
11.508	0.200	0.199	1.073	-0.005	0.469	0.024	-0.000
11.559	0.201	0.199	1.096	0.005	0.469	0.024	0.000
11.609	0.201	0.199	1.123	0.000	0.537	0.027	0.000
11.659	0.201	0.199	1.153	0.005	0.603	0.030	0.000
11.709	0.201	0.199	1.177	-0.005	0.470	0.024	-0.000
11.759	0.201	0.199	1.204	0.000	0.537	0.027	0.000
11.810	0.200	0.199	1.227	-0.005	0.469	0.024	-0.000
11.860	0.201	0.199	1.251	0.005	0.470	0.024	0.000
11.910	0.201	0.199	1.278	0.000	0.537	0.027	0.000
11.960	0.201	0.199	1.305	0.000	0.537	0.027	0.000
12.010	0.201	0.199	1.328	0.005	0.469	0.024	0.000
12.060	0.201	0.199	1.352	-0.005	0.470	0.024	-0.000
12.110	0.201	0.199	1.379	0.000	0.537	0.027	0.000
12.160	0.201	0.199	1.406	0.000	0.537	0.027	0.000
12.211	0.201	0.199	1.433	0.000	0.537	0.027	0.000
12.261	0.201	0.199	1.456	-0.005	0.470	0.024	-0.000
12.311	0.201	0.199	1.483	0.000	0.537	0.027	0.000
12.362	0.201	0.199	1.510	0.000	0.531	0.027	0.000
12.412	0.200	0.199	1.534	-0.005	0.470	0.024	-0.000
12.462	0.200	0.199	1.561	0.000	0.537	0.027	0.000
12.512	0.200	0.199	1.588	0.000	0.537	0.027	0.000
12.562	0.200	0.200	1.608	0.038	0.402	0.020	0.002
12.612	0.200	0.207	1.621	0.132	0.269	0.013	0.007
12.663	0.200	0.214	1.638	0.146	0.336	0.017	0.007
12.713	0.199	0.223	1.648	0.174	0.201	0.010	0.009
12.763	0.198	0.232	1.648	0.169	0.000	0.000	0.008
12.813	0.198	0.240	1.648	0.169	0.000	0.000	0.008
12.863	0.197	0.248	1.652	0.155	0.067	0.003	0.008
12.913	0.197	0.255	1.652	0.150	0.000	0.000	0.008
12.963	0.196	0.263	1.648	0.146	-0.067	-0.003	0.007
13.014	0.195	0.270	1.645	0.155	-0.067	-0.003	0.008
13.064	0.195	0.278	1.648	0.146	0.067	0.003	0.007
13.114	0.194	0.285	1.652	0.146	0.067	0.003	0.007
13.164	0.194	0.292	1.652	0.150	0.000	0.000	0.008
13.214	0.193	0.299	1.648	0.136	-0.067	-0.003	0.007
13.264	0.193	0.306	1.648	0.141	0.000	0.000	0.007
13.314	0.192	0.313	1.648	0.141	0.000	0.000	0.007
13.364	0.192	0.320	1.641	0.132	-0.134	-0.007	0.007
13.415	0.191	0.326	1.638	0.127	-0.067	-0.003	0.006
13.465	0.191	0.333	1.638	0.132	0.000	0.000	0.007
13.515	0.190	0.339	1.638	0.132	0.000	0.000	0.007
13.565	0.190	0.346	1.641	0.127	0.067	0.003	0.006
13.615	0.189	0.352	1.641	0.132	0.000	0.000	0.007
13.665	0.189	0.358	1.641	0.122	0.000	0.000	0.006
13.716	0.188	0.365	1.638	0.127	-0.067	-0.003	0.006
13.766	0.188	0.371	1.638	0.122	0.000	0.000	0.006
13.816	0.188	0.377	1.641	0.117	0.067	0.003	0.006
13.866	0.187	0.383	1.648	0.122	0.134	0.007	0.006
13.916	0.187	0.389	1.645	0.117	-0.067	-0.003	0.006
13.967	0.186	0.395	1.652	0.122	0.134	0.007	0.006
14.017	0.186	0.401	1.652	0.122	0.000	0.000	0.006
14.067	0.185	0.407	1.648	0.117	-0.067	-0.003	0.006
14.117	0.185	0.412	1.648	0.113	0.000	0.000	0.006
14.167	0.184	0.418	1.652	0.108	0.067	0.003	0.005
14.217	0.184	0.423	1.648	0.108	-0.067	-0.003	0.005
14.268	0.184	0.429	1.648	0.113	0.000	0.000	0.006
14.318	0.183	0.434	1.652	0.108	0.067	0.003	0.005
14.368	0.183	0.439	1.652	0.103	0.000	0.000	0.005
14.418	0.182	0.445	1.652	0.103	0.000	0.000	0.005
14.468	0.182	0.450	1.648	0.099	-0.067	-0.003	0.005
14.520	0.181	0.455	1.652	0.104	0.065	0.003	0.005
14.570	0.181	0.460	1.648	0.099	-0.067	-0.003	0.005
14.621	0.181	0.465	1.648	0.103	0.000	0.000	0.005
14.671	0.180	0.470	1.648	0.094	0.000	0.000	0.005
14.721	0.180	0.474	1.648	0.094	0.000	0.000	0.005
14.771	0.180	0.479	1.648	0.094	0.000	0.000	0.005
14.821	0.179	0.484	1.645	0.089	-0.067	-0.003	0.004
14.872	0.179	0.488	1.645	0.094	0.000	0.000	0.005
14.922	0.179	0.493	1.645	0.094	0.000	0.000	0.005
14.972	0.178	0.497	1.641	0.089	-0.067	-0.003	0.004
15.022	0.178	0.502	1.635	0.085	-0.134	-0.007	0.004
15.072	0.178	0.506	1.635	0.085	0.000	0.000	0.004
15.122	0.177	0.510	1.635	0.085	0.000	0.000	0.004
15.173	0.177	0.514	1.635	0.085	0.000	0.000	0.004
15.223	0.177	0.519	1.638	0.089	0.067	0.003	0.004
15.273	0.177	0.523	1.638	0.084	0.000	0.000	0.004
15.323	0.176	0.527	1.638	0.085	0.000	0.000	0.004
15.374	0.176	0.532	1.638	0.084	0.000	0.000	0.004
15.424	0.176	0.536	1.635	0.080	-0.067	-0.003	0.004
15.474	0.175	0.540	1.638	0.080	0.067	0.003	0.004
15.524	0.175	0.543	1.638	0.075	0.000	0.000	0.004
15.574	0.175	0.548	1.645	0.084	0.134	0.007	0.004
15.625	0.175	0.551	1.645	0.075	0.000	0.000	0.004
15.675	0.174	0.555	1.645	0.075	0.000	0.000	0.004
15.725	0.174	0.559	1.648	0.080	0.067	0.003	0.004
15.775	0.174	0.563	1.648	0.075	0.000	0.000	0.004
15.825	0.173	0.567	1.648	0.075	0.000	0.000	0.004
15.875	0.173	0.571	1.652	0.080	0.067	0.003	0.004
15.926	0.173	0.574	1.648	0.070	-0.067	-0.003	0.004
15.976	0.173	0.578	1.652	0.070	0.067	0.003	0.004
16.026	0.172	0.581	1.648	0.070	-0.067	-0.003	0.004
16.076	0.172	0.585	1.652	0.070	0.067	0.003	0.004
16.126	0.172	0.588	1.648	0.070	-0.067	-0.003	0.004
16.177	0.171	0.591	1.648	0.066	0.000	0.000	0.003
16.227	0.171	0.595	1.652	0.070	0.067	0.003	0.004
16.277	0.171	0.599	1.648	0.070	-0.067	-0.003	0.004
16.327	0.171	0.602	1.652	0.070	0.067	0.003	0.004
16.377	0.170	0.605	1.641	0.052	-0.201	-0.010	0.003
16.427	0.170	0.605	1.625	0.014	-0.335	-0.017	0.001
16.478	0.170	0.606	1.601	0.005	-0.469	-0.024	0.000
16.528	0.170	0.606	1.581	0.000	-0.403	-0.020	0.000
16.578	0.170	0.605	1.557	-0.005	-0.469	-0.024	-0.000
16.628	0.170	0.606	1.534	0.005	-0.470	-0.024	0.000
16.678	0.170	0.606	1.507	0.000	-0.537	-0.027	0.000
16.728	0.170	0.606	1.483	0.005	-0.470	-0.024	0.000
16.779	0.170	0.606	1.456	0.000	-0.536	-0.027	0.000
16.829	0.170	0.606	1.433	-0.005	-0.470	-0.024	-0.000
16.879	0.170	0.606	1.402	0.005	-0.603	-0.030	0.000
16.929	0.170	0.606	1.379	-0.005	-0.470	-0.024	-0.000
16.979	0.170	0.606	1.349	0.005	-0.603	-0.030	0.000
17.030	0.170	0.606	1.328	0.000	-0.403	-0.020	0.000
17.080	0.170	0.606	1.302	0.000	-0.536	-0.027	0.000
17.130	0.170	0.606	1.278	0.005	-0.470	-0.024	0.000
17.180	0.170	0.606	1.248	-0.005	-0.603	-0.030	-0.000
17.230	0.170	0.606	1.227	0.000	-0.402	-0.020	0.000
17.281	0.170	0.606	1.201	0.000	-0.537	-0.027	0.000
17.331	0.170	0.606	1.174	0.000	-0.537	-0.027	0.000
17.381	0.170	0.606	1.147	0.000	-0.537	-0.027	0.000
17.431	0.170	0.606	1.120	0.000	-0.536	-0.027	0.000
17.481	0.170	0.606	1.093	0.000	-0.537	-0.027	0.000
17.531	0.170	0.606	1.066	0.000	-0.537	-0.027	0.000
17.582	0.171	0.606	1.042	0.005	-0.470	-0.024	0.000
17.632	0.171	0.606	1.015	0.000	-0.537	-0.027	0.000
17.682	0.170	0.606	0.992	-0.005	-0.470	-0.024	-0.000
17.732	0.171	0.606	0.965	0.009	-0.537	-0.027	0.000
17.782	0.171	0.606	0.941	-0.005	-0.470	-0.024	-0.000
17.832	0.171	0.606	0.914	0.000	-0.537	-0.027	0.000
17.883	0.171	0.606	0.887	0.000	-0.537	-0.027	0.000
17.933	0.170	0.606	0.864	-0.005	-0.470	-0.024	-0.000
17.983	0.170	0.606	0.837	0.000	-0.536	-0.027	0.000
18.033	0.170	0.606	0.810	0.000	-0.537	-0.027	0.000
18.083	0.170	0.606	0.783	0.000	-0.536	-0.027	0.000
18.133	0.170	0.606	0.756	0.000	-0.537	-0.027	0.000
18.184	0.171	0.606	0.733	0.005	-0.470	-0.024	0.000
18.234	0.170	0.606	0.709	-0.005	-0.470	-0.024	-0.000
18.284	0.171	0.606	0.686	0.005	-0.469	-0.024	0.000
18.334	0.170	0.606	0.662	-0.005	-0.470	-0.024	-0.000
18.384	0.170	0.606	0.635	0.000	-0.535	-0.027	0.000
18.435	0.170	0.606	0.608	0.000	-0.537	-0.027	0.000
18.485	0.170	0.606	0.581	0.000	-0.536	-0.027	0.000
18.535	0.170	0.606	0.558	-0.005	-0.470	-0.024	-0.000
18.585	0.170	0.606	0.534	0.005	-0.470	-0.024	0.000
18.635	0.170	0.606	0.507	0.000	-0.537	-0.027	0.000
18.686	0.170	0.606	0.480	0.000	-0.537	-0.027	0.000
18.736	0.170	0.606	0.453	0.000	-0.537	-0.027	0.000
18.786	0.170	0.606	0.433	0.000	-0.403	-0.020	0.000
18.836	0.170	0.606	0.406	0.000	-0.537	-0.027	0.000
18.886	0.170	0.606	0.379	0.000	-0.537	-0.027	0.000
18.936	0.170	0.606	0.352	0.000	-0.537	-0.027	0.000
18.987	0.170	0.606	0.325	0.000	-0.537	-0.027	0.000
19.037	0.170	0.606	0.298	0.000	-0.537	-0.027	0.000
19.087	0.170	0.606	0.272	0.000	-0.537	-0.027	0.000
19.137	0.171	0.606	0.248	0.005	-0.470	-0.024	0.000
19.187	0.170	0.606	0.224	-0.005	-0.470	-0.024	-0.000
19.237	0.171	0.606	0.201	0.005	-0.470	-0.024	0.000
19.288	0.170	0.606	0.177	-0.005	-0.470	-0.024	-0.000
19.338	0.170	0.606	0.150	0.000	-0.537	-0.027	0.000
19.388	0.170	0.606	0.123	0.000	-0.537	-0.027	0.000
19.438	0.170	0.606	0.103	0.000	-0.402	-0.020	0.000
19.488	0.170	0.606	0.076	0.000	-0.537	-0.027	0.000
19.538	0.170	0.606	0.056	0.000	-0.403	-0.020	0.000
19.589	0.170	0.606	0.029	0.000	-0.537	-0.027	0.000
19.639	0.170	0.606	0.002	0.000	-0.537	-0.027	0.000
19.689	0.170	0.606	-0.025	0.000	-0.537	-0.027	0.000
19.739	0.170	0.606	-0.035	-0.005	-0.201	-0.010	-0.000
19.789	0.170	0.606	-0.031	0.005	0.067	0.003	0.000
19.839	0.171	0.606	-0.021	0.005	0.201	0.010	0.000
19.889	0.171	0.606	0.002	0.005	0.470	0.024	0.000
19.940	0.171	0.606	0.022	0.000	0.403	0.020	0.000
19.990	0.171	0.606	0.036	0.000	0.269	0.013	0.000
20.040	0.171	0.606	0.053	-0.005	0.336	0.017	-0.000
20.090	0.171	0.606	0.073	0.000	0.403	0.020	0.000
20.140	0.171	0.606	0.100	0.000	0.537	0.027	0.000
20.190	0.170	0.606	0.123	-0.005	0.470	0.024	-0.000
20.240	0.170	0.606	0.150	0.000	0.537	0.027	0.000
20.290	0.171	0.606	0.181	0.005	0.604	0.030	0.000
20.341	0.170	0.606	0.204	-0.005	0.470	0.024	-0.000
20.391	0.170	0.606	0.231	0.000	0.537	0.027	0.000
20.441	0.170	0.606	0.258	0.000	0.537	0.027	0.000
20.491	0.170	0.606	0.285	0.000	0.537	0.027	0.000
20.541	0.170	0.606	0.312	0.000	0.537	0.027	0.000
20.591	0.171	0.606	0.335	0.005	0.470	0.024	0.000
20.641	0.171	0.606	0.362	0.000	0.537	0.027	0.000
20.691	0.170	0.606	0.386	-0.005	0.470	0.024	-0.000
20.742	0.170	0.606	0.413	0.000	0.537	0.027	0.000
20.792	0.170	0.606	0.440	0.000	0.537	0.027	0.000
20.842	0.170	0.606	0.463	-0.005	0.470	0.024	-0.000
20.892	0.170	0.606	0.487	0.005	0.470	0.024	0.000
20.942	0.170	0.606	0.514	0.000	0.537	0.027	0.000
20.992	0.170	0.606	0.537	-0.005	0.470	0.024	-0.000
21.042	0.170	0.606	0.561	-0.005	0.470	0.024	-0.000
21.093	0.170	0.606	0.588	0.000	0.537	0.027	0.000
21.143	0.170	0.606	0.615	0.000	0.537	0.027	0.000
21.193	0.170	0.606	0.638	0.005	0.470	0.024	0.000
21.243	0.170	0.606	0.665	0.000	0.536	0.027	0.000
21.294	0.170	0.606	0.692	0.000	0.532	0.027	0.000
21.344	0.170	0.606	0.723	0.005	0.604	0.030	0.000
21.394	0.170	0.606	0.749	0.000	0.537	0.027	0.000
21.444	0.171	0.606	0.773	0.005	0.470	0.024	0.000
21.495	0.171	0.606	0.800	0.000	0.537	0.027	0.000
21.545	0.170	0.606	0.824	-0.005	0.470	0.024	-0.000
21.595	0.170	0.606	0.850	0.000	0.537	0.027	0.000
21.645	0.170	0.606	0.877	0.000	0.537	0.027	0.000
21.695	0.171	0.606	0.908	0.005	0.604	0.030	0.000
21.756	0.171	0.606	0.938	0.004	0.500	0.030	0.000
21.806	0.171	0.606	0.965	0.000	0.537	0.027	0.000
21.856	0.171	0.606	0.992	0.000	0.537	0.027	0.000
21.906	0.171	0.606	1.019	0.000	0.537	0.027	0.000
21.956	0.171	0.606	1.042	0.005	0.470	0.024	0.000
22.007	0.171	0.606	1.066	-0.005	0.470	0.024	-0.000
22.057	0.171	0.606	1.093	0.000	0.537	0.027	0.000
22.107	0.171	0.606	1.120	0.000	0.537	0.027	0.000
22.157	0.171	0.606	1.143	0.005	0.470	0.024	0.000
22.207	0.171	0.606	1.170	0.000	0.537	0.027	0.000
22.257	0.171	0.606	1.197	0.000	0.537	0.027	0.000
22.308	0.171	0.606	1.221	-0.005	0.470	0.024	-0.000
