t	x	y	th	v*100	w	dTh	dSi
0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.47	0.00	0.00	0.01	0.00	0.27	0.01	0.00
0.52	0.00	0.00	0.03	0.00	0.40	0.02	0.00
0.57	0.00	0.00	0.05	0.00	0.27	0.01	0.00
0.62	0.00	0.00	0.06	0.00	0.27	0.01	0.00
0.67	0.00	0.00	0.08	0.00	0.40	0.02	0.00
0.72	0.00	0.00	0.10	0.00	0.40	0.02	0.00
0.77	0.00	0.00	0.11	0.00	0.27	0.01	0.00
0.82	-0.00	-0.00	0.13	-0.47	0.33	0.02	-0.00
0.87	-0.00	0.00	0.15	0.46	0.33	0.02	0.00
0.92	-0.00	0.00	0.17	0.00	0.40	0.02	0.00
0.98	-0.00	0.00	0.18	0.00	0.27	0.01	0.00
1.03	-0.00	0.00	0.20	0.00	0.40	0.02	0.00
1.08	0.00	0.00	0.22	0.47	0.33	0.02	0.00
1.13	0.00	0.00	0.24	-0.47	0.34	0.02	-0.00
1.18	0.00	0.00	0.25	0.00	0.27	0.01	0.00
1.23	0.00	0.00	0.27	0.00	0.40	0.02	0.00
1.28	0.00	0.00	0.29	0.47	0.34	0.02	0.00
1.33	0.00	-0.00	0.30	-0.47	0.34	0.02	-0.00
1.38	0.00	-0.00	0.32	0.00	0.27	0.01	0.00
1.43	0.00	-0.00	0.34	0.00	0.40	0.02	0.00
1.48	0.00	-0.00	0.36	0.00	0.40	0.02	0.00
1.53	0.00	-0.00	0.37	0.00	0.27	0.01	0.00
1.58	0.00	-0.00	0.38	0.00	0.27	0.01	0.00
1.63	0.00	-0.00	0.40	0.00	0.40	0.02	0.00
1.68	0.00	-0.00	0.42	0.00	0.40	0.02	0.00
1.73	0.00	-0.00	0.44	0.00	0.27	0.01	0.00
1.78	0.00	-0.00	0.45	0.00	0.27	0.01	0.00
1.83	0.00	-0.00	0.47	0.00	0.40	0.02	0.00
1.88	0.00	-0.00	0.49	0.00	0.40	0.02	0.00
1.93	0.00	-0.00	0.50	0.00	0.27	0.01	0.00
1.98	0.00	0.00	0.52	0.47	0.34	0.02	0.00
2.03	0.00	0.00	0.54	0.00	0.40	0.02	0.00
2.08	0.00	-0.00	0.56	-0.47	0.34	0.02	-0.00
2.13	0.00	-0.00	0.57	0.00	0.27	0.01	0.00
2.18	0.00	-0.00	0.59	0.00	0.40	0.02	0.00
2.23	0.00	0.00	0.61	0.47	0.34	0.02	0.00
2.28	0.00	-0.00	0.63	-0.47	0.33	0.02	-0.00
2.33	0.00	-0.00	0.64	0.00	0.27	0.01	0.00
2.38	-0.00	-0.00	0.66	-0.47	0.34	0.02	-0.00
2.43	0.00	0.00	0.68	0.94	0.40	0.02	0.00
2.48	0.00	-0.00	0.69	-0.47	0.34	0.02	-0.00
2.53	0.00	-0.00	0.71	0.00	0.27	0.01	0.00
2.58	0.00	-0.00	0.73	0.00	0.40	0.02	0.00
2.63	0.00	-0.00	0.75	0.00	0.40	0.02	0.00
2.68	0.00	-0.00	0.76	0.00	0.27	0.01	0.00
2.73	0.00	-0.00	0.77	0.00	0.27	0.01	0.00
2.78	0.00	-0.00	0.79	0.00	0.40	0.02	0.00
2.83	0.00	0.00	0.81	0.47	0.34	0.02	0.00
2.88	0.00	-0.00	0.83	-0.47	0.34	0.02	-0.00
2.93	0.00	-0.00	0.84	0.00	0.27	0.01	0.00
2.98	0.00	-0.00	0.86	0.00	0.40	0.02	0.00
3.03	0.00	0.00	0.88	0.47	0.34	0.02	0.00
3.08	0.00	-0.00	0.90	-0.47	0.34	0.02	-0.00
3.13	0.00	-0.00	0.92	0.00	0.40	0.02	0.00
3.18	0.00	-0.00	0.93	0.00	0.27	0.01	0.00
3.23	0.00	-0.00	0.95	0.00	0.40	0.02	0.00
3.28	0.00	-0.00	0.96	0.00	0.27	0.01	0.00
3.33	0.00	0.00	0.98	0.47	0.34	0.02	0.00
3.38	0.00	0.00	1.00	0.00	0.40	0.02	0.00
3.43	0.00	-0.00	1.02	-0.47	0.34	0.02	-0.00
t	x	y	th	v*100	w	dTh	dSi
